d1,d2,d3,d4,d5,vezes,atual,ultima,maior,media
4,11,25,39,55,2,2521,0,0,154.0
1,2,6,16,46,1,2825,0,0,5.0
14,23,24,26,51,2,2496,147,147,166.5
1,2,6,16,19,1,2825,0,0,5.0
2,16,37,43,57,2,2085,498,498,372.0
13,19,22,40,47,1,2824,0,0,6.0
11,13,38,39,54,2,2018,225,225,405.5
7,19,22,40,47,1,2824,0,0,6.0
18,20,36,53,58,2,1931,23,23,449.0
7,13,22,40,47,1,2824,0,0,6.0
11,21,30,35,52,2,1819,322,322,505.0
7,13,19,40,47,1,2824,0,0,6.0
28,30,31,35,54,2,1603,60,60,613.0
7,13,19,22,47,1,2824,0,0,6.0
16,29,34,49,51,2,1191,1296,1296,819.0
7,13,19,22,40,1,2824,0,0,6.0
2,13,41,49,53,2,1082,917,917,873.5
5,20,21,38,56,1,2823,0,0,7.0
6,19,34,43,45,2,1029,494,494,900.0
3,20,21,38,56,1,2823,0,0,7.0
27,28,32,48,55,2,999,682,682,915.0
3,5,21,38,56,1,2823,0,0,7.0
8,11,25,39,41,2,770,244,244,1029.5
3,5,20,38,56,1,2823,0,0,7.0
14,36,53,55,60,2,766,1843,1843,1031.5
3,5,20,21,56,1,2823,0,0,7.0
7,23,33,57,59,2,755,1739,1739,1037.0
3,5,20,21,38,1,2823,0,0,7.0
1,18,19,33,60,2,747,744,744,1041.0
17,37,38,47,53,1,2822,0,0,8.0
19,22,29,41,59,2,722,1875,1875,1053.5
4,37,38,47,53,1,2822,0,0,8.0
18,36,44,57,60,2,540,1567,1567,1144.5
4,17,38,47,53,1,2822,0,0,8.0
9,21,37,39,54,2,530,1537,1537,1149.5
4,17,37,47,53,1,2822,0,0,8.0
4,7,13,25,58,2,462,1151,1151,1183.5
4,17,37,38,53,1,2822,0,0,8.0
1,6,10,30,33,2,281,849,849,1274.0
4,17,37,38,47,1,2822,0,0,8.0
37,39,50,59,60,2,252,68,68,1288.5
43,54,55,56,60,1,2821,0,0,9.0
4,22,28,30,49,2,186,2103,2103,1321.5
8,54,55,56,60,1,2821,0,0,9.0
5,30,33,41,52,1,2829,0,0,1.0
8,43,55,56,60,1,2821,0,0,9.0
4,30,33,41,52,1,2829,0,0,1.0
8,43,54,56,60,1,2821,0,0,9.0
4,5,33,41,52,1,2829,0,0,1.0
8,43,54,55,60,1,2821,0,0,9.0
4,5,30,41,52,1,2829,0,0,1.0
8,43,54,55,56,1,2821,0,0,9.0
4,5,30,33,52,1,2829,0,0,1.0
18,21,25,38,57,1,2820,0,0,10.0
4,5,30,33,41,1,2829,0,0,1.0
4,21,25,38,57,1,2820,0,0,10.0
37,39,41,43,49,1,2828,0,0,2.0
4,18,25,38,57,1,2820,0,0,10.0
9,39,41,43,49,1,2828,0,0,2.0
4,18,21,38,57,1,2820,0,0,10.0
9,37,41,43,49,1,2828,0,0,2.0
4,18,21,25,57,1,2820,0,0,10.0
9,37,39,43,49,1,2828,0,0,2.0
4,18,21,25,38,1,2820,0,0,10.0
9,37,39,41,49,1,2828,0,0,2.0
25,37,38,58,59,1,2819,0,0,11.0
9,37,39,41,43,1,2828,0,0,2.0
15,37,38,58,59,1,2819,0,0,11.0
11,29,30,36,47,1,2827,0,0,3.0
15,25,38,58,59,1,2819,0,0,11.0
10,29,30,36,47,1,2827,0,0,3.0
15,25,37,58,59,1,2819,0,0,11.0
10,11,30,36,47,1,2827,0,0,3.0
15,25,37,38,59,1,2819,0,0,11.0
10,11,29,36,47,1,2827,0,0,3.0
15,25,37,38,58,1,2819,0,0,11.0
10,11,29,30,47,1,2827,0,0,3.0
16,19,20,27,43,1,2818,0,0,12.0
10,11,29,30,36,1,2827,0,0,3.0
4,19,20,27,43,1,2818,0,0,12.0
5,6,27,42,59,1,2826,0,0,4.0
4,16,20,27,43,1,2818,0,0,12.0
1,6,27,42,59,1,2826,0,0,4.0
4,16,19,27,43,1,2818,0,0,12.0
1,5,27,42,59,1,2826,0,0,4.0
4,16,19,20,43,1,2818,0,0,12.0
1,5,6,42,59,1,2826,0,0,4.0
4,16,19,20,27,1,2818,0,0,12.0
1,5,6,27,59,1,2826,0,0,4.0
32,47,50,54,56,1,2817,0,0,13.0
1,5,6,27,42,1,2826,0,0,4.0
18,47,50,54,56,1,2817,0,0,13.0
2,6,16,19,46,1,2825,0,0,5.0
18,32,50,54,56,1,2817,0,0,13.0
1,6,16,19,46,1,2825,0,0,5.0
18,32,47,54,56,1,2817,0,0,13.0
1,2,16,19,46,1,2825,0,0,5.0
18,32,47,50,56,1,2817,0,0,13.0
1,2,6,19,46,1,2825,0,0,5.0
18,32,47,50,54,1,2817,0,0,13.0
